k,cbf_beta,test_loss,cbf_gamma,test_pred_dist,epochs,seq_len,test_f1,trial_id,test_loss_avg,num_lstm_layers,lstm_dim,mlp_dim,fine_tune_lr_ratio,fc_dim,test_mcc,test_cum_ret,test_acc,num_heads,num_encoders,fc_dropout,mlp_dropout,d_model,lr,batch_size,time_idx,criterion,pretrained_t2v,ignore_cols,scheduler,symbol,optimizer
64,0.99,1.5164850354194641,1.0,"[0.134, 0.717, 0.15]",140,20,0.21916357983936913,0,0.7582425177097321,2,256,2048,0.1,1024,0.004189044657089805,-0.06999999999999995,0.19692460317460317,4,2,0.1,0.3,64,1.0000000000000002e-06,64,"[6, 7, 8]",{'name': 'cb_focal'},/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},cycc,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
64,0.99,0.7531778812408447,1.0,"[0.173, 0.677, 0.15]",140,20,0.22027116740277594,1,0.7531778812408447,2,256,2048,0.1,1024,-0.04390028858171641,-0.14,0.1889763779527559,4,2,0.1,0.3,64,1.0000000000000002e-06,128,"[6, 7, 8]",{'name': 'cb_focal'},/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},cycc,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
64,0.99,1.4072261452674866,1.0,"[0.346, 0.362, 0.291]",140,30,0.37238017661585404,2,0.7036130726337433,2,256,2048,0.1,1024,0.030809712970788196,0.09000000000000008,0.34672619047619047,4,2,0.1,0.3,64,1.0000000000000002e-06,64,"[6, 7, 8]",{'name': 'cb_focal'},/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},cycc,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
64,0.99,0.7025308609008789,1.0,"[0.37, 0.378, 0.252]",140,30,0.3392006378949467,3,0.7025308609008789,2,256,2048,0.1,1024,-0.03280616996230031,-0.06000000000000005,0.30708661417322836,4,2,0.1,0.3,64,1.0000000000000002e-06,128,"[6, 7, 8]",{'name': 'cb_focal'},/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},cycc,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
64,0.99,1.5639131665229797,1.0,"[0.157, 0.685, 0.157]",140,20,0.23256658724986376,4,0.7819565832614899,2,256,2048,0.1,1024,-0.020053853514187987,0.050000000000000044,0.19680059523809523,8,2,0.1,0.3,64,1.0000000000000002e-06,64,"[6, 7, 8]",{'name': 'cb_focal'},/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},cycc,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
64,0.99,0.7692046761512756,1.0,"[0.165, 0.654, 0.181]",140,20,0.26205857916489,5,0.7692046761512756,2,256,2048,0.1,1024,0.005862183592502864,0.06000000000000005,0.2204724409448819,8,2,0.1,0.3,64,1.0000000000000002e-06,128,"[6, 7, 8]",{'name': 'cb_focal'},/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},cycc,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
64,0.99,1.5008557438850403,1.0,"[0.268, 0.417, 0.315]",140,30,0.3311263810856534,6,0.7504278719425201,2,256,2048,0.1,1024,-0.00020340320589228733,0.1499999999999999,0.2996031746031746,8,2,0.1,0.3,64,1.0000000000000002e-06,64,"[6, 7, 8]",{'name': 'cb_focal'},/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},cycc,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
64,0.99,0.7538083791732788,1.0,"[0.252, 0.441, 0.307]",140,30,0.3192123829938494,7,0.7538083791732788,2,256,2048,0.1,1024,0.0018407631743753666,-0.010000000000000009,0.29133858267716534,8,2,0.1,0.3,64,1.0000000000000002e-06,128,"[6, 7, 8]",{'name': 'cb_focal'},/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},cycc,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
64,0.99,1.5154197812080383,1.0,"[0.181, 0.709, 0.11]",140,20,0.28804193778870885,8,0.7577098906040192,2,256,2048,0.1,1024,0.07766678666409295,0.1200000000000001,0.24379960317460317,4,3,0.1,0.3,64,1.0000000000000002e-06,64,"[6, 7, 8]",{'name': 'cb_focal'},/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},cycc,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
64,0.99,0.7623760104179382,1.0,"[0.15, 0.748, 0.102]",140,20,0.22180270891855566,9,0.7623760104179382,2,256,2048,0.1,1024,0.000644610163549668,0.1299999999999999,0.1889763779527559,4,3,0.1,0.3,64,1.0000000000000002e-06,128,"[6, 7, 8]",{'name': 'cb_focal'},/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},cycc,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
64,0.99,1.6331048011779785,1.0,"[0.181, 0.551, 0.268]",140,30,0.28296911082904297,10,0.8165524005889893,2,256,2048,0.1,1024,0.00663389309264918,0.040000000000000036,0.2517361111111111,4,3,0.1,0.3,64,1.0000000000000002e-06,64,"[6, 7, 8]",{'name': 'cb_focal'},/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},cycc,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
64,0.99,0.7578495144844055,1.0,"[0.079, 0.772, 0.15]",140,30,0.20048455481526348,11,0.7578495144844055,2,256,2048,0.1,1024,0.05718366637828608,-0.18999999999999995,0.1968503937007874,4,3,0.1,0.3,64,1.0000000000000002e-06,128,"[6, 7, 8]",{'name': 'cb_focal'},/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},cycc,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
64,0.99,1.5635143518447876,1.0,"[0.165, 0.709, 0.126]",140,20,0.2513436646592342,12,0.7817571759223938,2,256,2048,0.1,1024,0.020630866592335415,-0.020000000000000018,0.21242559523809523,8,3,0.1,0.3,64,1.0000000000000002e-06,64,"[6, 7, 8]",{'name': 'cb_focal'},/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},cycc,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
64,0.99,0.789979100227356,1.0,"[0.15, 0.764, 0.087]",140,20,0.22756843784277048,13,0.789979100227356,2,256,2048,0.1,1024,0.04354268513134892,0.1200000000000001,0.2047244094488189,8,3,0.1,0.3,64,1.0000000000000002e-06,128,"[6, 7, 8]",{'name': 'cb_focal'},/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},cycc,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
64,0.99,1.6200724840164185,1.0,"[0.181, 0.551, 0.268]",140,30,0.252925857688677,14,0.8100362420082092,2,256,2048,0.1,1024,-0.03413244994443691,-0.07999999999999996,0.22805059523809523,8,3,0.1,0.3,64,1.0000000000000002e-06,64,"[6, 7, 8]",{'name': 'cb_focal'},/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},cycc,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
