mlp_dropout,k,cbf_beta,test_loss,cbf_gamma,test_pred_dist,epochs,seq_len,test_f1,batch_size,trial_id,lr,test_loss_avg,num_lstm_layers,lstm_dim,mlp_dim,fine_tune_lr_ratio,fc_dim,test_mcc,test_cum_ret,num_heads,criterion,num_encoders,time_idx,fc_dropout,d_model,pretrained_t2v,ignore_cols,scheduler,symbol,test_acc,optimizer
0.3,64,0.99,1.2235110998153687,1.0,"[0.449, 0.024, 0.528]",140,20,0.3733942591157632,64,0,1.0000000000000002e-06,0.6117555499076843,2,256,2048,0.1,1024,-0.10722459616054988,-0.41000000000000003,4,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.38578869047619047,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,0.6097974181175232,1.0,"[0.449, 0.024, 0.528]",140,20,0.4161897725837261,128,1,1.0000000000000002e-06,0.6097974181175232,2,256,2048,0.1,1024,-0.03494474630710065,-0.20999999999999996,4,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.4251968503937008,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,1.3904330134391785,1.0,"[0.307, 0.016, 0.677]",140,30,0.38174185592778104,64,2,1.0000000000000002e-06,0.6952165067195892,2,256,2048,0.1,1024,-0.04738024044801621,-0.19999999999999996,4,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.40947420634920634,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,0.6630024909973145,1.0,"[0.346, 0.0, 0.654]",140,30,0.39615048118985124,128,3,1.0000000000000002e-06,0.6630024909973145,2,256,2048,0.1,1024,-0.033410850050193924,-0.13,4,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.4251968503937008,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,1.288763165473938,1.0,"[0.488, 0.055, 0.457]",140,20,0.388306007203645,64,4,1.0000000000000002e-06,0.644381582736969,2,256,2048,0.1,1024,-0.07866402765760351,-0.09999999999999998,8,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.3942212301587301,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,0.5958547592163086,1.0,"[0.441, 0.031, 0.528]",140,20,0.38667813582125765,128,5,1.0000000000000002e-06,0.5958547592163086,2,256,2048,0.1,1024,-0.08619253037400523,-0.38,8,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.3937007874015748,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,1.416310727596283,1.0,"[0.362, 0.024, 0.614]",140,30,0.36879026485325705,64,6,1.0000000000000002e-06,0.7081553637981415,2,256,2048,0.1,1024,-0.09485053236253242,-0.10999999999999999,8,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.38603670634920634,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,0.6696603894233704,1.0,"[0.331, 0.0, 0.669]",140,30,0.3779093788734334,128,7,1.0000000000000002e-06,0.6696603894233704,2,256,2048,0.1,1024,-0.06215824948258851,-0.16000000000000003,8,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.4094488188976378,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,1.2750263214111328,1.0,"[0.386, 0.039, 0.575]",140,20,0.37310514946693607,64,8,1.0000000000000002e-06,0.6375131607055664,2,256,2048,0.1,1024,-0.08700500273114896,-0.6599999999999999,4,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.38578869047619047,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,0.6143214702606201,1.0,"[0.323, 0.039, 0.638]",140,20,0.410917056420579,128,9,1.0000000000000002e-06,0.6143214702606201,2,256,2048,0.1,1024,0.011047873136029422,-0.07999999999999996,4,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.4330708661417323,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,1.3866777420043945,1.0,"[0.252, 0.0, 0.748]",140,30,0.38523755959076544,64,10,1.0000000000000002e-06,0.6933388710021973,2,256,2048,0.1,1024,-0.0004009468536367609,-0.050000000000000044,4,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.4327876984126984,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,0.6671543717384338,1.0,"[0.276, 0.016, 0.709]",140,30,0.35319592733366717,128,11,1.0000000000000002e-06,0.6671543717384338,2,256,2048,0.1,1024,-0.09086398480619103,-0.24,4,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.3858267716535433,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,1.2628207802772522,1.0,"[0.409, 0.071, 0.52]",140,20,0.41327767985752223,64,12,1.0000000000000002e-06,0.6314103901386261,2,256,2048,0.1,1024,-0.014070054590608267,0.030000000000000027,8,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.4175347222222222,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,0.6140610575675964,1.0,"[0.417, 0.047, 0.535]",140,20,0.40643381115822064,128,13,1.0000000000000002e-06,0.6140610575675964,2,256,2048,0.1,1024,-0.029451956283672854,-0.12,8,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.41732283464566927,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,1.3678004145622253,1.0,"[0.441, 0.016, 0.543]",140,30,0.40950087850588923,64,14,1.0000000000000002e-06,0.6839002072811127,2,256,2048,0.1,1024,-0.0386019710391708,0.09000000000000008,8,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.4254712301587301,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.3,64,0.99,0.6510354280471802,1.0,"[0.402, 0.016, 0.583]",140,30,0.40108029974514053,128,15,1.0000000000000002e-06,0.6510354280471802,2,256,2048,0.1,1024,-0.04681428631859939,-0.18999999999999995,8,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.41732283464566927,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,1.2434192895889282,1.0,"[0.457, 0.016, 0.528]",140,20,0.37994864913824056,64,16,1.0000000000000002e-06,0.6217096447944641,2,256,2048,0.1,1024,-0.09945618745110543,-0.26,4,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.39384920634920634,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,0.5971134305000305,1.0,"[0.402, 0.0, 0.598]",140,20,0.41103218076001363,128,17,1.0000000000000002e-06,0.5971134305000305,2,256,2048,0.1,1024,-0.027341506645620964,-0.24,4,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.4330708661417323,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,1.379754364490509,1.0,"[0.283, 0.016, 0.701]",140,30,0.3688032612944659,64,18,1.0000000000000002e-06,0.6898771822452545,2,256,2048,0.1,1024,-0.05980803850220079,-0.19999999999999996,4,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.4015376984126984,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,0.6526510119438171,1.0,"[0.315, 0.0, 0.685]",140,30,0.3688542805973271,128,19,1.0000000000000002e-06,0.6526510119438171,2,256,2048,0.1,1024,-0.07582307896777413,-0.20999999999999996,4,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.4015748031496063,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,1.2827325463294983,1.0,"[0.488, 0.031, 0.48]",140,20,0.37615652025797663,64,20,1.0000000000000002e-06,0.6413662731647491,2,256,2048,0.1,1024,-0.10831995617027998,-0.28,8,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.38603670634920634,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,0.5960397720336914,1.0,"[0.465, 0.031, 0.504]",140,20,0.37541417499431584,128,21,1.0000000000000002e-06,0.5960397720336914,2,256,2048,0.1,1024,-0.1043354453671637,-0.37,8,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.3858267716535433,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,1.3733559846878052,1.0,"[0.37, 0.024, 0.606]",140,30,0.386583983727364,64,22,1.0000000000000002e-06,0.6866779923439026,2,256,2048,0.1,1024,-0.0662536514582278,-0.040000000000000036,8,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.40166170634920634,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,0.6614968180656433,1.0,"[0.331, 0.0, 0.669]",140,30,0.3624237784214447,128,23,1.0000000000000002e-06,0.6614968180656433,2,256,2048,0.1,1024,-0.09348403394405176,-0.28,8,{'name': 'cb_focal'},2,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.3937007874015748,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,1.2232765555381775,1.0,"[0.409, 0.024, 0.567]",140,20,0.40212659735664297,64,24,1.0000000000000002e-06,0.6116382777690887,2,256,2048,0.1,1024,-0.04295722969508189,-0.35,4,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.4171626984126984,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,0.6131193041801453,1.0,"[0.402, 0.039, 0.559]",140,20,0.4209405955750759,128,25,1.0000000000000002e-06,0.6131193041801453,2,256,2048,0.1,1024,-0.0029454671407247502,0.010000000000000009,4,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.4330708661417323,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,1.3499964475631714,1.0,"[0.276, 0.0, 0.724]",140,30,0.3891672631830112,64,26,1.0000000000000002e-06,0.6749982237815857,2,256,2048,0.1,1024,-0.005064528483927145,-0.06999999999999995,4,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.4327876984126984,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,0.6614537835121155,1.0,"[0.236, 0.008, 0.756]",140,30,0.37108846155587655,128,27,1.0000000000000002e-06,0.6614537835121155,2,256,2048,0.1,1024,-0.025805310404326706,-0.17000000000000004,4,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.41732283464566927,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,1.2329488396644592,1.0,"[0.449, 0.039, 0.512]",140,20,0.43886249755970586,64,28,1.0000000000000002e-06,0.6164744198322296,2,256,2048,0.1,1024,0.01749993941620054,0.08000000000000007,8,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.4490327380952381,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,0.6024921536445618,1.0,"[0.394, 0.039, 0.567]",140,20,0.45003542638664223,128,29,1.0000000000000002e-06,0.6024921536445618,2,256,2048,0.1,1024,0.05610327941138236,0.08000000000000007,8,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.4645669291338583,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,1.3728378415107727,1.0,"[0.339, 0.008, 0.654]",140,30,0.38249673619458,64,30,1.0000000000000002e-06,0.6864189207553864,2,256,2048,0.1,1024,-0.05758226384024877,-0.14,8,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.40947420634920634,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
0.4,64,0.99,0.6363149285316467,1.0,"[0.394, 0.039, 0.567]",140,30,0.3970963731401147,128,31,1.0000000000000002e-06,0.6363149285316467,2,256,2048,0.1,1024,-0.04485990965080169,-0.06999999999999995,8,{'name': 'cb_focal'},3,"[6, 7, 8]",0.1,64,/home/sfwatanabe/git-projects/project-proposal/data/t2v_weights/t2v_n64_mlp1024_lr6.310e-05.pth,[0],{'name': 'plateau'},bivi,0.4094488188976378,"{'name': 'adam', 'config': {'eps': 1e-08, 'weight_decay': 0.001, 'betas': (0.9, 0.99)}}"
